,context,n_concepts,mean_tfidf,mean_diff,evidence
0,orange,43,0.04,0.04,i
1,fruits,41,0.03,0.03,i
2,pineapple,41,0.05,0.05,i
3,ripe,41,0.04,0.04,r
4,fruit,39,0.07,0.07,i
5,citrus,38,0.03,0.02,i
6,juice,38,0.2,0.19,p
7,juices,38,0.02,0.01,p
8,garden,37,0.01,0.01,u
9,flavors,37,0.06,0.05,u
10,cherry,36,0.05,0.05,i
11,mango,36,0.07,0.07,i
12,papaya,36,0.04,0.04,i
13,green,36,0.03,0.03,u
14,bright,36,0.01,0.01,u
15,sorbet,35,0.03,0.03,i
16,picking,35,0.01,0.01,u
17,pomegranate,35,0.01,0.01,i
18,tangerine,35,0.02,0.02,i
19,grapefruit,35,0.03,0.03,i
20,juicy,28,0.01,0.01,p
